	insetivoro	herbivoro	detritivoro	parasita	piscivoro	omnivoro	aloctone	autoctone	nectonico	bentonico	compression_index	relative_height	eye_position	mouth_position	relative_head_length	relative_peduncle_length	compression_peduncle	pectoral_position	pectoral_area	ventral_area	dorsal_area	caudal_area	biomass	eye_size	Fonte dos dados Morfolgicos	Fonte de dados habitat
Imparfinis.mishky	3	0	0	0	0	0	0	1	1	1	0.874867981	0.135263728	0.734597429	0.491502448	0.216724175	0.22656934	2.42931188	0.327768791	1.058663031	0.975324523	1.381388159	2.2728236	1.2678	0.182912272	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie, Tofoli et al 2013 "
Ituglanis.australis	3	0	0	0	0	0	0	1	0	1	0.852183651	0.145090562	0.792	0.396	0.183412774	0.177502383	4.75	0.287779238	0.518711153	0.151687321	0.711935176	1.486726406	0.929	0.120582121	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie, Polaz 2013; Ibanez et al 2007; Anjos 2005"
Ituglanis.inusitatus	3	0	0	0	0	0	0	1	0	1	0.852183651	0.145090562	0.792	0.396	0.183412774	0.177502383	4.75	0.287779238	0.518711153	0.151687321	0.711935176	1.486726406	0.929	0.120582121	"Dala-Corte, 2016 (Utilizamos de I. australis)"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Laetacara.dorsigera	2	0	1	0	0	0	0	1	1	1	2.150080192	0.434246545	0.649738385	0.340585354	0.359793039	0.091169669	3.658636489	0.399141932	1.62202277	1.357353603	2.91368155	3.11010359	3.9775	0.321131351	"Dala-Corte, 2016 (Utilizamos de A. facetus)"	"Copiei do genro Gymnogeophagus, no h publicaes sobre a dieta da espcie; "
Macropsobrycon.uruguayanae	3	0	0	0	0	0	1	1	1	1	2.603497083	0.300893548	0.634618278	0.49374358	0.226391449	0.175006439	3.565637003	0.132729329	0.087243224	0.293406883	0.855722888	2.143837027	0.632	0.400529899	"Dala-Corte, 2016 (Utilizamos H. yatai)"	"Tatiana Dias, 2007 (dissertao mestrado)"
Microglanis.cottoides	3	0	0	0	0	0	0	1	1	1	0.766088996	0.216985292	0.787424112	0.334619709	0.276886886	0.16430021	3.536039239	0.310940278	0.740013365	0.514923297	0.953211774	0.9961896	1.039375	0.126849536	"Dala-Corte, 2016"	Luz-agostinho et al
Microglanis.malabarbai	3	0	0	0	0	0	0	1	1	1	0.766088996	0.216985292	0.787424112	0.334619709	0.276886886	0.16430021	3.536039239	0.310940278	0.740013365	0.514923297	0.953211774	0.9961896	1.039375	0.126849536	"Dala-Corte, 2016 (Utilizamos de M. cottoides)"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Mimagoniates.inequalis	3	0	0	0	0	0	1	1	1	1	2.243973709	0.313376073	0.622417569	0.673930657	0.254859275	0.130175316	2.867037806	0.233013684	0.350463001	0.164711501	0.679538139	1.6039319	0.3253	0.367292937	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Moenkhausia.bonita	3	0	0	0	0	0	1	1	1	1	2.678866832	0.333686901	0.619514008	0.606405339	0.255100062	0.10402984	2.783811638	0.25883702	0.457094002	0.311433157	1.140083198	2.216708226	0.4945	0.440834362	"Dala-Corte, 2016 (Utilizamos de M. dichroura)"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Moenkhausia.dichroura	3	0	0	0	0	0	1	1	1	1	2.678866832	0.333686901	0.619514008	0.606405339	0.255100062	0.10402984	2.783811638	0.25883702	0.457094002	0.311433157	1.140083198	2.216708226	0.4945	0.440834362	"Dala-Corte, 2016"	"Rejas et al 2005, Silva & Hahn"
Odontostilbe.pequira	1	2	0	0	0	0	0	1	1	1	2.400336553	0.275054523	0.660903125	0.531038855	0.243638209	0.101882272	3.412751248	0.154382917	0.324593715	0.249662112	0.778783977	1.439537143	0.2855	0.370035902	"Dala-Corte, 2016"	"Ximenes et al. 2011; Dias, 2007"
Oligosarcus.jacuiensis	1	0	0	0	2	0	0	1	1	0	2.14277772	0.264903468	0.66407523	0.444711144	0.29370158	0.135084254	2.275803825	0.155430212	0.247532406	0.726253021	1.79912443	4.390946965	13.9205	0.266782182	"Dala-Corte, 2016"	"Bonatto, 2016"
Oligosarcus.jenynsii	1	0	0	0	2	0	0	1	1	0	1.971673497	0.248483392	0.595155848	0.590933168	0.286443057	0.116659565	2.318174769	0.169827385	1.231210898	0.553181066	1.970442587	5.889370615	20.6183	0.283665353	"Dala-Corte, 2016"	"Bonatto, 2016"
Oligosarcus.oligolepis	3	0	0	0	0	0	0	1	1	0	2.53705398	0.265867689	0.664813785	0.488048916	0.276701822	0.127900288	2.548022599	0.177425171	1.093825503	0.920786194	1.743986577	6.675236817	11.15	0.235620236	"Dala-Corte, 2016"	"Barros 2004, mas apenas citando que essa informao foi dada por autores (trabalhos de taxonomia)"
Oligosarcus.robustus	0	0	0	0	3	0	0	1	1	0	2.140677185	0.248635791	0.671237923	0.523817619	0.304024914	0.104589583	2.361312723	0.206770488	1.604551776	0.958363104	2.3006267	5.190180628	40.743	0.230016539	"Dala-Corte, 2016"	Luz Agostinho
Oligosarcus.sp	1	0	0	0	2	0	0	1	1	0	2.69370229	0.311864781	0.60031679	0.582365364	0.25430844	0.132677861	2.859872611	0.174282678	1.3776403	0.797262483	1.970790985	6.23272205	11.058	0.321025195	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Otocinclus.arnoldi	0	1	2	0	0	0	0	1	0	1	1.010566928	0.231976504	0.585802249	0	0.259022506	0.314024346	2.104063742	0.17106136	0.919074106	0.487838716	1.334803295	3.041435948	1.548666667	0.226576176	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Otocinclus.flexilis	0	1	2	0	0	0	0	1	0	1	0.980764544	0.222591104	0.548310411	0	0.256996128	0.316055292	2.098675846	0.232573679	1.002177557	0.51802725	1.312708425	2.085031785	0.96744	0.262254142	"Dala-Corte, 2016"	Fernandez et al. 2012; Gonzalez-Bergonzoni et al. 2016; 
Phalloceros.caudimaculatus	0	2	1	0	0	0	0	1	1	1	1.39178574	0.241699774	0.694674674	0.709313251	0.244439711	0.301581778	2.257990614	0.558454513	0.267706849	0.095721677	0.386701831	1.221548063	0.5095	0.338146311	"Dala-Corte, 2016"	
Pimelodella.australis	3	0	0	0	0	0	0	1	1	1	0.995740228	0.194847305	0.667962031	0.171275528	0.253955472	0.180692224	2.320107495	0.245416342	1.267555303	0.725012485	2.031248784	2.789005389	4.0395	0.277409111	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie; Maronas et al ; Severo neto et al"
Pseudobunocephalus.iheringii	3	0	0	0	0	0	0	1	0	1	0.44157521	0.141322314	0.901052632	0.202105263	0.18822314	0.183471074	1.088353414	0.504385965	1.10527686	0.543801653	2.019132231	1.400991736	1.407	0.128430296	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie, Melo et al 2004; Luz-agostinho et al "
Pseudocorynopoma.doriae	3	0	0	0	0	0	1	1	1	0	2.945129629	0.35611271	0.675938393	0.714315516	0.251562889	0.095081206	2.649675304	0.353639587	1.596308267	0.164176791	1.668244303	3.091001952	1.8185	0.333629936	"Dala-Corte, 2016"	
Pseudohemiodon.laticeps	0	2	0	0	0	1	0	1	0	1	0.351659403	0.091328574	1	0	0.234285217	0.41990249	0.341155235	0.181124881	2.463297928	1.406118753	2.226689013	1.190828835	8.215	0.131178001	"Dala-Corte, 2016"	"Pela famla, no h publicaes sobre a dieta da espcie; Silva 2006"
Rhamdella.eriarcha	3	0	0	0	0	0	0	1	1	1	0.892440838	0.164145169	0.702575161	0.20443297	0.259663446	0.210351793	2.781643275	0.259899696	1.232572548	0.998048049	2.2511952	3.418310085	8.25375	0.251231075	"Dala-Corte, 2016"	Luz-Agostinho
Rhamdella.longiuscula	3	0	0	0	0	0	0	1	1	1	0.902773117	0.166474636	0.7120467	0.174067058	0.251621954	0.202017611	2.422252247	0.237826234	1.775167122	1.555199245	2.933691517	4.896275157	21.3913	0.237876835	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie,"
Rhamdia.sp1	1	0	0	0	2	0	0	1	1	1	0.916399991	0.181251317	0.712140194	0.138137784	0.258391326	0.190971348	2.877680892	0.268726622	1.865813449	1.543025702	3.260006134	5.492698863	43.1353	0.190093035	"Dala-Corte, 2016 (Utilizamos R. quelen)"	"Bonatto & Fialho, 2014"
Rhamdia.sp2	1	0	0	0	2	0	0	1	1	1	0.916399991	0.181251317	0.712140194	0.138137784	0.258391326	0.190971348	2.877680892	0.268726622	1.865813449	1.543025702	3.260006134	5.492698863	43.1353	0.190093035	"Dala-Corte, 2016 (Utilizamos R. quelen)"	"Bonatto & Fialho, 2014"
Rineloricaria.anitae	1	0	2	0	0	0	0	1	0	1	0.568294405	0.099080035	0.763538763	0	0.177806075	0.499197459	0.502180613	0.290339761	1.238288105	0.861201816	1.880733897	1.036380092	3.3583	0.195127338	"Dala-Corte, 2016 (usamos dados da R. stellata, provavelmente  zaina)"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Rineloricaria.cadeae	1	0	2	0	0	0	0	1	0	1	0.66553302	0.101459646	0.736862571	0	0.168233063	0.495237973	0.456679477	0.327930443	0.872844486	0.73809867	1.248609426	0.996364215	1.7308	0.202338848	"Dala-Corte, 2016"	Luz.agostinho et al 
Rineloricaria.longicauda	1	0	2	0	0	0	0	1	0	1	0.623133201	0.090544112	0.874079248	0	0.156672191	0.539771706	0.499167646	0.305890578	0.855146415	0.653367842	1.389072158	0.845072135	1.851	0.177756348	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie,"
Rineloricaria.microlepidogaster	1	0	2	0	0	0	0	1	0	1	0.711689608	0.124497034	0.778748249	0	0.232985723	0.436983794	0.46400332	0.332180115	2.070036129	1.433235498	2.39096743	2.041904514	9.5899	0.127313642	"Dala-Corte, 2016"	Luz.agostinho et al 
Rineloricaria.sanga	1	0	2	0	0	0	0	1	0	1	0.568294405	0.099080035	0.763538763	0	0.177806075	0.499197459	0.502180613	0.290339761	1.238288105	0.861201816	1.880733897	1.036380092	3.3583	0.195127338	"Dala-Corte, 2016 (usamos dados da R. stellata, que provavelmente  a sp certa)"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Rineloricaria.stellata	1	0	2	0	0	0	0	1	0	1	0.568294405	0.099080035	0.763538763	0	0.177806075	0.499197459	0.502180613	0.290339761	1.238288105	0.861201816	1.880733897	1.036380092	3.3583	0.195127338	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie,"
Rineloricaria.strigilata	0	0	3	0	0	0	0	1	0	1	0.559955637	0.093680463	0.896161261	0	0.180350824	0.503035164	0.430210357	0.3054137	0.922838935	0.662950112	1.169391387	0.725618849	1.044	0.197626931	"Dala-Corte, 2016"	Luz.agostinho et al 
Rineloricaria.zaina	1	0	2	0	0	0	0	1	0	1	0.568294405	0.099080035	0.763538763	0	0.177806075	0.499197459	0.502180613	0.290339761	1.238288105	0.861201816	1.880733897	1.036380092	3.3583	0.195127338	"Dala-Corte, 2016 (usamos dados da R. stellata)"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Scleronema.cf.minutum	3	0	0	0	0	0	0	1	0	1	0.924265954	0.163723804	0.918633471	0.359577214	0.198693611	0.241235839	3.332721909	0.266853158	0.431624016	0.259354516	0.678992573	0.834854432	0.705	0.157946228	"Dala-Corte, 2016 (utilizamos S. minutum)"	"A nica info que achei foi Masden 2011, que simplesmente apnta que Scleronema sao bentivoros e consomem predominantemente invertebrados"
Scleronema.minutum	3	0	0	0	0	0	0	1	0	1	0.924265954	0.163723804	0.918633471	0.359577214	0.198693611	0.241235839	3.332721909	0.266853158	0.431624016	0.259354516	0.678992573	0.834854432	0.705	0.157946228	"Dala-Corte, 2016"	"A nica info que achei foi Masden 2011, que simplesmente apnta que Scleronema sao bentivoros e consomem predominantemente invertebrados"
Scleronema.operculatum	3	0	0	0	0	0	0	1	0	1	0.85281286	0.153211209	0.746713882	0.184278055	0.193186159	0.253156424	3.777652335	0.178146698	0.794999252	0.425441065	0.863265942	1.242401434	0.744714286	0.12674591	"Dala-Corte, 2016"	"A nica info que achei foi Masden 2011, que simplesmente apnta que Scleronema sao bentivoros e consomem predominantemente invertebrados"
Scleronema.sp3	3	0	0	0	0	0	0	1	0	1	0.858509226	0.144539107	0.827207419	0.192463427	0.192937827	0.20623079	5.216969697	0.273520028	0.198894254	0.163419592	0.256315419	0.64797925	0.205	0.111970554	"Dala-Corte, 2016 (Utilizamos Scleronema.sp1.quarai)"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Scleronema.sp4	3	0	0	0	0	0	0	1	0	1	0.84265351	0.147101157	0.818529312	0.190275034	0.210822666	0.227348333	3.374041514	0.275850222	0.405596684	0.228304797	0.601856908	0.647783953	0.306333333	0.104888304	"Dala-Corte, 2016 (Utilizamos Scleronema.sp1.ibicui)"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Scleronema.sp5	3	0	0	0	0	0	0	1	0	1	0.924265954	0.163723804	0.918633471	0.359577214	0.198693611	0.241235839	3.332721909	0.266853158	0.431624016	0.259354516	0.678992573	0.834854432	0.705	0.157946228	"Dala-Corte, 2016 (utilizamos S. minutum)"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Serrapinnus.calliurus	0	3	0	0	0	0	0	1	1	1	2.80196658	0.352290853	0.586418093	0.451201573	0.242383212	0.134644986	3.014096236	0.193801318	0.283300525	0.37681981	1.01634712	1.603879789	0.3024	0.415317179	"Dala-Corte, 2016"	Prado et al 2016
Steindachnerina.biornata	0	0	3	0	0	0	1	1	1	0	1.832860118	0.328646486	0.570158859	0.412276416	0.244911746	0.160244639	2.885896347	0.17655141	0.730339808	0.862627677	2.281560396	5.395847474	12.71414286	0.285683701	"Dala-Corte, 2016"	"Machin, 2012, Luz-Agostinho et al"
Steindachnerina.brevipinna	0	0	3	0	0	0	1	1	1	0	1.876086957	0.301642782	0.610714286	0.2875	0.302341839	0.128276826	3.297029703	0.269988413	0.217056973	0.500734009	0.990178259	1.706815799	0.423	0.301734104	"Dala-Corte, 2016"	Lopes et al 2016
Synbranchus.marmoratus	2	0	0	0	1	0	0	1	0	1	1.11158465	0.047706074	0.748249064	0.469067233	0.099785873	0.281414089	2.345728827	0	0	0	0	0	8.839666667	0.13304808	"Dala-Corte, 2016"	
