	insetivoro	herbivoro	detritivoro	parasita	piscivoro	omnivoro	aloctone	autoctone	nectonico	bentonico	compression_index	relative_height	eye_position	mouth_position	relative_head_length	relative_peduncle_length	compression_peduncle	pectoral_position	pectoral_area	ventral_area	dorsal_area	caudal_area	biomass	eye_size	Fonte dos dados Morfolgicos	Fonte de dados habitat
Characidium.orientale	3	0	0	0	0	0	0	1	1	1	1.817073677	0.238488977	0.629819388	0.431662485	0.263950579	0.20336233	2.8733382	0.154058792	0.659237268	0.575836488	1.299279807	1.557846995	0.6487	0.288552413	"Dala-Corte, 2016"	Luz-Agostinho et al
Characidium.pterostictum	3	0	0	0	0	0	0	1	1	1	1.427364877	0.211384357	0.671093772	0.364104694	0.233411301	0.201994164	2.272401202	0.157837468	1.58132662	1.118500143	1.729904415	2.44227738	2.5143	0.276034352	"Dala-Corte, 2016"	"Becker et al., 2007"
Characidium.rachovii	3	0	0	0	0	0	0	1	1	1	1.676489067	0.220500207	0.613459802	0.376537375	0.243242233	0.203612734	2.761562418	0.182587552	0.623700764	0.509265043	1.028609173	1.566832141	0.9822	0.285423253	"Dala-Corte, 2016 (Copiamos de C. zebra)"	Bastos et al 2013
Characidium.tenue	3	0	0	0	0	0	0	1	1	1	1.431957616	0.166799355	0.701858285	0.424432447	0.241362741	0.196490469	2.817417378	0.283708171	0.56284174	0.520648635	0.974452168	1.294872155	0.4306	0.290598213	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Charax.stenopterus	3	0	0	0	0	0	0	1	1	1	3.083800472	0.377959721	0.617659004	0.527848624	0.276536469	0.080915441	3.650797804	0.182545416	0.418043329	0.444210857	1.625801714	2.678999795	1.5887	0.306816324	"Dala-Corte, 2016"	Luz-Agostinho et al; Saccol-Pereira 2009
Cheirodon.ibicuhiensis	1	2	0	0	0	0	0	1	1	1	2.56	0.341232227	0.531571219	0.471365639	0.253850711	0.13714455	2.897260274	0.199652778	0.400281398	0.359537915	1.015432464	2.528101303	0.706	0.298716453	"Dala-Corte, 2016"	"Dias, 2007"
Cheirodon.interruptus	1	2	0	0	0	0	0	1	1	1	2.20463189	0.321958117	0.606230219	0.476074277	0.25042412	0.17278717	2.383917619	0.217446642	0.443741767	0.362110332	1.093319191	2.350483269	1.2573	0.335049734	"Dala-Corte, 2016"	"Dias, 2007"
Cichlasoma.dimerus	2	1	0	0	0	0	1	1	0	1	2.056269152	0.490468029	0.548444739	0.305492817	0.359288375	0.09675588	4.171062507	0.364502992	1.844970102	1.301740532	2.130609293	2.937007617	4.897	0.347249139	"Dala-Corte, 2016"	Novakowski et al 2016
Cnesterodon.decemmaculatus	0	1	2	0	0	0	0	1	1	1	1.403826121	0.259434175	0.69631467	0.697669108	0.214893997	0.352763867	2.291821726	0.537993052	0.209050065	0.067544859	0.355060281	0.946918326	0.484	0.341376334	"Dala-Corte, 2016"	"Quintans et al 2009, Gonzalez-Bergonzoni et al 2016"
Corydoras.longipinnis	2	1	0	0	0	0	0	1	0	1	1.374326961	0.340790818	0.628835984	0	0.297156619	0.133944741	2.075947437	0.163850203	1.673438865	0.910003929	3.448318819	3.574540689	2.1127	0.283538418	"Dala-Corte, 2016 (Pertence ao mesmo clado de Corydoras paleatus, segundo Vera-Alcaraz, 2013 (tese da PUCRS)"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Corydoras.paleatus	2	1	0	0	0	0	0	1	0	1	1.374326961	0.340790818	0.628835984	0	0.297156619	0.133944741	2.075947437	0.163850203	1.673438865	0.910003929	3.448318819	3.574540689	2.1127	0.283538418	"Dala-Corte, 2016"	"Gonzalez-Bergonzoni et al. 2016,; saccol-pereira 2009; luz-agostinho"
Corydoras.sp	2	1	0	0	0	0	0	1	0	1	1.473509934	0.406207211	0.724271845	0.091262136	0.335919671	0.118667275	3.719298246	0.178651685	1.395609311	0.617649475	1.628338658	3.808744865	0.467	0.273097826	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Corydoras.undulatus	2	1	0	0	0	0	0	1	0	1	1.454518055	0.38987897	0.598475998	0.090495191	0.287847757	0.127052837	2.636487152	0.212665119	1.380839546	0.907145834	1.979390575	3.271760359	2.111571429	0.232511741	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Crenicichla.cf.scottii	2	0	0	0	1	0	0	1	1	1	1.195736265	0.207012487	0.681132534	0.362924036	0.344637032	0.159921935	2.733363497	0.500786627	2.425928083	1.199287867	4.212381071	4.081780499	34.5235	0.202255952	"Dala-Corte, 2016"	Gonzalez-Bergonzoni et al. 2016
Crenicichla.lepidota	1	0	0	0	2	0	0	1	1	1	1.583765916	0.259551108	0.622562345	0.352107313	0.341054018	0.134848926	3.176624471	0.487755235	2.040008512	1.139054305	4.362658614	3.525452369	12.019	0.233201456	"Dala-Corte, 2016"	"Burress, 2010"
Crenicichla.punctata	2	0	0	0	1	0	0	1	1	1	1.200200831	0.201197127	0.689821837	0.448084999	0.335214162	0.141361518	2.673109013	0.534293384	1.312120067	0.685154111	2.337071045	2.037406497	6.2552	0.226117093	"Dala-Corte, 2016"	Luz-Agostinho et al
Crenicichla.scottii	2	0	0	0	1	0	0	1	1	1	1.195736265	0.207012487	0.681132534	0.362924036	0.344637032	0.159921935	2.733363497	0.500786627	2.425928083	1.199287867	4.212381071	4.081780499	34.5235	0.202255952	"Dala-Corte, 2016 (utilizamos da Crenicichla.scottii)"	Gonzalez-Bergonzoni et al. 2016
Cyphocharax.saladensis	0	1	2	0	0	0	0	1	1	1	2.173937084	0.367052585	0.612280055	0.4180384	0.249260591	0.132023207	3.514450653	0.219650331	0.605789216	0.774625511	2.113800761	4.600224732	5.3346	0.336256788	"Dala-Corte, 2016"	Luz-agostinho et al.; Hartz & Barbieri; 
Cyphocharax.spilotus	0	1	2	0	0	0	0	1	1	1	2.347870747	0.357083985	0.588726061	0.380044224	0.274387092	0.131067218	2.968434738	0.17862701	0.601864222	0.638917551	1.979469885	4.038443878	5.206666667	0.332394777	"Dala-Corte, 2016"	Luz-agostinho et al.; Hartz & Barbieri; 
Cyphocharax.voga	0	1	2	0	0	0	0	1	1	1	1.955695709	0.337466665	0.563963095	0.35466732	0.272691206	0.127136586	2.805300349	0.174992316	0.898735639	0.807583914	2.458455884	6.05818843	16.851	0.306686331	"Dala-Corte, 2016"	Luz-agostinho et al.; Hartz & Barbieri; 
Diapoma.alburnum	3	0	0	0	0	0	1	1	1	0	2.465085229	0.311723624	0.647400809	0.557674278	0.241755459	0.119204468	2.529903728	0.219125027	0.421820228	0.198973151	0.82682685	2.023534633	0.6734	0.408435222	"Dala-Corte, 2016 (utilizamos D. alegretensis)"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Diapoma.alegretensis	3	0	0	0	0	0	1	1	1	0	2.465085229	0.311723624	0.647400809	0.557674278	0.241755459	0.119204468	2.529903728	0.219125027	0.421820228	0.198973151	0.82682685	2.023534633	0.6734	0.408435222	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Diapoma.speculiferum	3	0	0	0	0	0	1	1	1	0	2.493436174	0.279058603	0.602716884	0.532628117	0.238219449	0.089564755	2.749015016	0.232404694	0.560905357	0.210265342	0.756504427	1.871537663	0.660125	0.393650234	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Diapoma.terofali	1	2	0	0	0	0	1	1	1	0	2.696708679	0.302489092	0.575695306	0.513430396	0.239857935	0.110528971	3.096334178	0.214942979	0.671231643	0.306110233	0.824515408	2.6122087	1.1158	0.39004896	"Dala-Corte, 2016"	Gracioli et al 2003
Diapoma.thauma	3	0	0	0	0	0	1	1	1	0	2.696708679	0.302489092	0.575695306	0.513430396	0.239857935	0.110528971	3.096334178	0.214942979	0.671231643	0.306110233	0.824515408	2.6122087			"Dala-Corte, 2016 (Segundo chave em Menezes & weitzman 2011,  uma espcie similar a D. terofalli)"	Neiff et al. 2009
Diapoma.uruguayensis	3	0	0	0	0	0	1	1	1	0	2.64596178	0.321814979	0.663347602	0.610349509	0.226069606	0.118796403	2.548682879	0.202322298	0.381972852	0.197816803	0.842466735	2.467550018	0.8127	0.40640355	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Eigenmannia.trilineata	2	1	0	0	0	0	0	1	1	1	2.10845341	0.132059927	0.686769637	0.471914563	0.104044235	0.215532835	1.774823175	0.402348295	0.224029205	0	0	0	2.024428571	0.189590035	"Dala-Corte, 2016"	"Pelo gnero, no h publicaes sobre a dieta da espcie"
Gymnogeophagus.gymnogenys	2	0	1	0	0	0	0	1	1	1	1.995623603	0.358183713	0.721194863	0.177618607	0.344166303	0.186749699	2.631452637	0.420531414	1.550127606	1.265841151	2.602512547	3.013103324	4.7111	0.305217013	"Dala-Corte, 2016"	Giora et al 2005
Gymnogeophagus.labiatus	2	1	0	0	0	0	0	1	1	1	2.018544936	0.366390471	0.733002481	0.136476427	0.332599689	0.189668566	3.011560694	0.381272085	3.567452097	1.586064215	3.157586743	4.631993786	12.065	0.232775399	"Dala-Corte, 2016"	"Longoni, 2009; Luz Agostinho et al. Selmo 2010, Gonzalez-Bergonzoni et al. 2016"
